월급,고정지출,식비/외식,교통/자동차,편의점/마트,금융,여가비,커피/디저트,쇼핑,비상금,군집
1327000,0.03,0.27,0.16,0.24,0.07,0.18,0.06,0.39,0.07,2
1257000,0.03,0.26,0.16,0.24,0.07,0.22,0.06,0.41,0.07,2
1243000,0.03,0.28,0.16,0.26,0.07,0.23,0.07,0.39,0.07,2
1362000,0.03,0.31,0.14,0.25,0.07,0.19,0.07,0.38,0.07,2
1345000,0.03,0.31,0.16,0.27,0.07,0.18,0.07,0.39,0.07,2
1271000,0.03,0.25,0.15,0.23,0.07,0.19,0.08,0.34,0.07,2
1343000,0.03,0.31,0.14,0.26,0.07,0.23,0.07,0.36,0.07,2
1254000,0.03,0.28,0.15,0.25,0.07,0.18,0.06,0.34,0.07,2
1325000,0.03,0.3,0.16,0.24,0.07,0.22,0.07,0.38,0.07,2
1322000,0.03,0.25,0.14,0.24,0.07,0.21,0.07,0.38,0.07,2
1326000,0.03,0.27,0.16,0.24,0.07,0.2,0.06,0.33,0.07,2
1316000,0.03,0.31,0.15,0.26,0.07,0.21,0.08,0.34,0.07,2
1341000,0.03,0.26,0.15,0.23,0.07,0.22,0.06,0.34,0.07,2
1353000,0.03,0.27,0.16,0.25,0.07,0.2,0.08,0.34,0.07,2
1327000,0.03,0.26,0.15,0.27,0.07,0.2,0.08,0.36,0.07,2
1305000,0.03,0.26,0.14,0.25,0.07,0.18,0.08,0.39,0.07,2
1292000,0.03,0.27,0.16,0.27,0.07,0.18,0.07,0.39,0.07,2
1318000,0.03,0.27,0.16,0.23,0.07,0.22,0.06,0.36,0.07,2
1323000,0.03,0.31,0.14,0.27,0.07,0.19,0.06,0.41,0.07,2
1346000,0.03,0.3,0.15,0.27,0.07,0.18,0.08,0.36,0.07,2
1286000,0.03,0.31,0.15,0.27,0.07,0.2,0.07,0.4,0.07,2
1249000,0.03,0.24,0.14,0.23,0.07,0.21,0.08,0.37,0.07,2
1321000,0.03,0.26,0.15,0.27,0.07,0.23,0.07,0.35,0.07,2
1271000,0.03,0.27,0.15,0.27,0.07,0.23,0.06,0.35,0.07,2
1251000,0.03,0.31,0.14,0.27,0.07,0.17,0.07,0.39,0.07,2
1327000,0.03,0.26,0.14,0.27,0.07,0.23,0.08,0.32,0.07,2
1277000,0.03,0.25,0.16,0.24,0.07,0.17,0.06,0.4,0.07,2
1346000,0.03,0.25,0.16,0.25,0.07,0.19,0.07,0.4,0.07,2
1291000,0.03,0.26,0.14,0.25,0.07,0.23,0.06,0.4,0.07,2
1360000,0.03,0.25,0.16,0.27,0.07,0.19,0.07,0.35,0.07,2
1270000,0.03,0.29,0.15,0.25,0.07,0.23,0.06,0.34,0.07,2
1319000,0.03,0.31,0.14,0.24,0.07,0.22,0.07,0.4,0.07,2
1332000,0.03,0.28,0.15,0.25,0.07,0.22,0.07,0.33,0.07,2
1363000,0.03,0.29,0.14,0.25,0.07,0.21,0.06,0.35,0.07,2
1256000,0.03,0.29,0.16,0.24,0.07,0.18,0.08,0.4,0.07,2
1318000,0.03,0.32,0.14,0.25,0.07,0.18,0.06,0.34,0.07,2
1309000,0.03,0.25,0.16,0.25,0.07,0.23,0.07,0.38,0.07,2
1354000,0.03,0.27,0.15,0.23,0.07,0.19,0.08,0.38,0.07,2
